R,G,B,X,Y
0.576470588,0.737254902,0.823529412,0.03125,0.140625
0.576470588,0.737254902,0.823529412,0.03125,0.1484375
0.576470588,0.737254902,0.823529412,0.03125,0.15625
0.580392157,0.741176471,0.82745098,0.03125,0.1640625
0.580392157,0.741176471,0.82745098,0.03125,0.171875
0.580392157,0.741176471,0.82745098,0.03125,0.1796875
0.580392157,0.741176471,0.82745098,0.03125,0.1875
0.576470588,0.737254902,0.823529412,0.03125,0.1953125
0.576470588,0.737254902,0.823529412,0.03125,0.203125
0.576470588,0.737254902,0.823529412,0.03125,0.2109375
0.576470588,0.737254902,0.823529412,0.03125,0.21875
0.576470588,0.737254902,0.823529412,0.03125,0.2265625
0.576470588,0.737254902,0.823529412,0.03125,0.234375
0.576470588,0.737254902,0.823529412,0.03125,0.2421875
0.57254902,0.737254902,0.823529412,0.03125,0.25
0.568627451,0.733333333,0.819607843,0.03125,0.2578125
0.560784314,0.737254902,0.819607843,0.03125,0.265625
0.564705882,0.741176471,0.823529412,0.03125,0.2734375
0.564705882,0.741176471,0.823529412,0.03125,0.28125
0.564705882,0.741176471,0.823529412,0.03125,0.2890625
0.568627451,0.745098039,0.82745098,0.03125,0.296875
0.568627451,0.745098039,0.82745098,0.03125,0.3046875
0.568627451,0.745098039,0.82745098,0.03125,0.3125
0.57254902,0.749019608,0.831372549,0.03125,0.3203125
0.57254902,0.749019608,0.831372549,0.03125,0.328125
0.57254902,0.749019608,0.831372549,0.03125,0.3359375
0.57254902,0.749019608,0.831372549,0.03125,0.34375
0.57254902,0.749019608,0.831372549,0.03125,0.3515625
0.57254902,0.749019608,0.831372549,0.03125,0.359375
0.57254902,0.749019608,0.831372549,0.03125,0.3671875
0.57254902,0.749019608,0.831372549,0.03125,0.375
0.576470588,0.752941176,0.82745098,0.03125,0.3828125
0.576470588,0.752941176,0.82745098,0.03125,0.390625
0.576470588,0.752941176,0.82745098,0.03125,0.3984375
0.576470588,0.752941176,0.82745098,0.03125,0.40625
0.576470588,0.752941176,0.82745098,0.03125,0.4140625
0.576470588,0.752941176,0.82745098,0.03125,0.421875
0.576470588,0.752941176,0.82745098,0.03125,0.4296875
0.576470588,0.752941176,0.82745098,0.03125,0.4375
0.580392157,0.756862745,0.831372549,0.03125,0.4453125
0.580392157,0.756862745,0.831372549,0.03125,0.453125
0.580392157,0.756862745,0.831372549,0.03125,0.4609375
0.584313725,0.760784314,0.835294118,0.03125,0.46875
0.584313725,0.760784314,0.835294118,0.03125,0.4765625
0.584313725,0.760784314,0.835294118,0.03125,0.484375
0.588235294,0.764705882,0.839215686,0.03125,0.4921875
0.588235294,0.764705882,0.839215686,0.03125,0.5
0.584313725,0.760784314,0.835294118,0.03125,0.5078125
0.584313725,0.760784314,0.835294118,0.03125,0.515625
0.584313725,0.760784314,0.835294118,0.03125,0.5234375
0.588235294,0.764705882,0.839215686,0.03125,0.53125
0.588235294,0.764705882,0.839215686,0.03125,0.5390625
0.588235294,0.764705882,0.839215686,0.03125,0.546875
0.6,0.768627451,0.835294118,0.03125,0.5546875
